section,scope,metric,june,july,status
reclaim_internal,RECLAIM,june_pearson,0.578665,,COMPOSITE_SUPPORTED
reclaim_internal,RECLAIM,june_spearman,0.541420,,COMPOSITE_SUPPORTED
reclaim_internal,RECLAIM,july_pearson,0.440917,,COMPOSITE_SUPPORTED
reclaim_internal,RECLAIM,july_spearman,0.430603,,COMPOSITE_SUPPORTED
semantic_decoupling,DIVERGENCE_RECLAIM,june_pearson,0.214091,,SEMANTIC_DECOUPLING_OK
semantic_decoupling,DIVERGENCE_RECLAIM,june_spearman,0.137127,,SEMANTIC_DECOUPLING_OK
semantic_decoupling,DIVERGENCE_RECLAIM,july_pearson,0.189155,,SEMANTIC_DECOUPLING_OK
semantic_decoupling,DIVERGENCE_RECLAIM,july_spearman,0.109371,,SEMANTIC_DECOUPLING_OK
semantic_decoupling,DIVERGENCE_CLOSE_DAMAGE,june_pearson,0.329897,,
semantic_decoupling,DIVERGENCE_CLOSE_DAMAGE,june_spearman,0.274516,,
semantic_decoupling,DIVERGENCE_CLOSE_DAMAGE,july_pearson,0.344186,,
semantic_decoupling,DIVERGENCE_CLOSE_DAMAGE,july_spearman,0.281575,,
semantic_decoupling,CLOSE_DAMAGE_RECLAIM,june_pearson,-0.734046,,
semantic_decoupling,CLOSE_DAMAGE_RECLAIM,june_spearman,-0.772495,,
semantic_decoupling,CLOSE_DAMAGE_RECLAIM,july_pearson,-0.719497,,
semantic_decoupling,CLOSE_DAMAGE_RECLAIM,july_spearman,-0.762796,,
vif,OPEN,R1,1.180653,,OK
vif,OPEN,R2,1.364777,,OK
vif,DIVERGENCE,R1,2.325648,,OK
vif,DIVERGENCE,R2,2.738984,,OK
vif,CLOSE_DAMAGE,R1,5.043262,,WATCH
vif,CLOSE_DAMAGE,R2,6.342713,,WATCH
vif,SUPPLY,R1,1.110886,,OK
vif,SUPPLY,R2,1.196754,,OK
vif,RECLAIM,R1,4.765425,,OK
vif,RECLAIM,R2,6.620018,,WATCH
vif,DIVERGENCE_SQ,R2,4.423580,,OK
vif,DIVERGENCE_X_RECLAIM,R2,8.096005,,WATCH
vif,DIVERGENCE_X_DAMAGE,R2,9.088218,,WATCH
condition_number,R1,s_max,18.435393,,OK
condition_number,R1,s_min,4.037508,,OK
condition_number,R1,kappa,4.566033,,OK
condition_number,R2,s_max,22.162663,,OK
condition_number,R2,s_min,2.652936,,OK
condition_number,R2,kappa,8.354014,,OK
condition_number,STATE_BLOCK,s_max,17.892642,,OK
condition_number,STATE_BLOCK,s_min,4.073469,,OK
condition_number,STATE_BLOCK,kappa,4.392482,,OK
condition_number,CONDITIONAL_BLOCK,s_max,17.099808,,OK
condition_number,CONDITIONAL_BLOCK,s_min,3.559970,,OK
condition_number,CONDITIONAL_BLOCK,kappa,4.803357,,OK
