factor_name,factor_role,factor_type,formula,primitive_dependencies,active_in_r1,active_in_r2,economic_meaning,preprocessing
OPEN,CORE 基础因子 (单 primitive),continuous_standardized,F_O = z(break_open_return),break_open_return,True,True,"D1 开盘时, 前面 2/3 板形成的资金共识和隔夜认可是否仍存在 (overnight demand / opening strength)。不假设 OPEN 越高一定越好, 方向留给未来模型估计。","reference 样本内拟合 (FOLD_CLIP_Z 顺序: 在 reference 原始值上拟合 q01/q99 -> clip -> 在 clipped reference 值上拟合 mu/sigma) + (clip(x)-mu)/sigma (reference 参数; 未来正式 fold 中参数只来自 当前 training fold, 禁止全样本参数)"
DIVERGENCE,CORE 基础因子 (3 primitive composite),continuous_standardized,G_D = (-z(d1_open_to_close_return_raw) + z(d1_high_to_close_drawdown_raw) - z(d1_close_to_vwap_raw)) / 3; F_D = z(G_D),d1_open_to_close_return_raw|d1_high_to_close_drawdown_raw|d1_close_to_vwap_raw,True,True,"D1 首次断板后价格分歧的充分程度 (price reset intensity)。只描述'跌下来多少 / 价格重置多充分', 不描述'跌下来以后有没有被资金重新买回去'。与旧 RESET 数学定义完全一致 (权重 -1/3, +1/3, -1/3 固定, 禁止修改), 只是重新命名与重新解释。","先对各 primitive 执行 FOLD_CLIP_Z (reference 参数), 再构造 G, 然后在 reference 上拟合 G 的 mu/sigma -> z(G)"
SUPPLY,CORE 基础因子 (单 primitive),continuous_standardized,F_S = z(late_day_sell_volume_ratio),late_day_sell_volume_ratio,True,True,"D1 进入后半段以后, 主动供应/卖压是否仍然持续存在。只使用 late_day_sell_volume_ratio 单独作为 SUPPLY; 不重新使用旧的 HIGHZONE + LATESELL composite。","reference 样本内拟合 (FOLD_CLIP_Z 顺序: 在 reference 原始值上拟合 q01/q99 -> clip -> 在 clipped reference 值上拟合 mu/sigma) + (clip(x)-mu)/sigma (reference 参数; 未来正式 fold 中参数只来自 当前 training fold, 禁止全样本参数)"
RECLAIM,CORE 基础因子 (2 primitive composite),continuous_standardized,G_Q = (z(d1_low_to_close_recovery) + z(d1_afternoon_return)) / 2; F_Q = z(G_Q),d1_low_to_close_recovery|d1_afternoon_return,True,True,"D1 盘中出现低点和分歧以后, 资金是否重新形成承接, 并把价格从低位收回来。RECLAIM 必须与 DIVERGENCE 明确分开: DIVERGENCE 只描述分歧程度, RECLAIM 描述分歧后是否被资金买回。第一版只使用这两个 primitive, 不加入 d1_last_hour_return / d1_close_location / d1_true_reclaim_ma5 / d1_true_reclaim_ma10 / d1_up_bar_volume_ratio (可进入未来 sensitivity)。","先对各 primitive 执行 FOLD_CLIP_Z (reference 参数), 再构造 G, 然后在 reference 上拟合 G 的 mu/sigma -> z(G)"
DIVERGENCE_SQ,CORE 派生项 (预声明非线性项),continuous_derived_standardized,H = F_D^2; F_D2 = z(H),DIVERGENCE,False,True,"允许未来 Logistic 表达'分歧存在最佳区间', 而不是强制 DIVERGENCE 无限单调 (分歧不足 -> 不充分; 适中分歧 -> 健康换手; 极端分歧 -> 可能结构破坏)。禁止根据 Target 决定平方项方向。","由标准化 base factor 构造 raw, 在 reference 上拟合 raw 的 mu/sigma -> 标准化; 不做第二次 clip (规格明确禁止对 derived 再施加第二套 q01/q99 裁剪)"
DIVERGENCE_X_RECLAIM,CORE 派生项 (预声明条件项),continuous_derived_standardized,H = F_D * F_Q; F_DQ = z(H),DIVERGENCE|RECLAIM,False,True,Repair-State 模型的核心条件项: 区分'D高+Q高 = 充分分歧 + 明显重新承接'与'D高+Q低 = 价格破坏 + 缺乏承接'。,"由标准化 base factor 构造 raw, 在 reference 上拟合 raw 的 mu/sigma -> 标准化; 不做第二次 clip (规格明确禁止对 derived 再施加第二套 q01/q99 裁剪)"
DIVERGENCE_X_SUPPLY,CORE 派生项 (预声明条件项),continuous_derived_standardized,H = F_D * F_S; F_DS = z(H),DIVERGENCE|SUPPLY,False,True,"同样发生充分分歧时, 尾盘供应是否仍然持续: 区分'D高+S低 = 充分分歧 + 卖压衰竭'与'D高+S高 = 充分分歧 + 尾盘仍持续释放'。","由标准化 base factor 构造 raw, 在 reference 上拟合 raw 的 mu/sigma -> 标准化; 不做第二次 clip (规格明确禁止对 derived 再施加第二套 q01/q99 裁剪)"
HIGHZONE,LEGACY_SENSITIVITY,continuous_standardized,F_HIGHZONE = z(high_zone_volume_ratio),HIGHZONE,False,False,"高位筹码堆积。其意义明显依赖价格结果/承接状态, 第一版不再作为独立线性 core factor。","历史定义保留在 v004c_factor_spec.py (v002 规格), 本模块不复制公式实现"
MOM7,LEGACY_SENSITIVITY,continuous_standardized,F_MOM7 = z(recent_7d_cumulative_return),MOM7,False,False,"最近 7 日整体价格扩张。旧 M2 加入 path layer 以后 June OOF 概率质量系统性恶化, 本版本不再作为核心 Alpha 输入。","历史定义保留在 v004c_factor_spec.py (v002 规格), 本模块不复制公式实现"
DAMAGE7,LEGACY_SENSITIVITY,continuous_standardized,F_DAMAGE7 = z(recent_7d_max_drawdown),DAMAGE7,False,False,"最近 7 日路径峰值破坏。同 MOM7, 不再作为核心 Alpha 输入。","历史定义保留在 v004c_factor_spec.py (v002 规格), 本模块不复制公式实现"
