model_id,position_a,position_b,feature_a,feature_b,dev_non_null_pair_count,dev_spearman_rho,locked_non_null_pair_count,locked_spearman_rho,absolute_dev_rho,absolute_locked_rho,maximum_absolute_rho,absolute_rho_shift,redundancy_flag
M1,1,2,break_open_return,down_bar_volume_ratio,173,0.218304783052,160,0.189648446353,0.218304783052,0.189648446353,0.218304783052,0.028656336698,ABS_RHO_LT_0_70
M1,1,3,break_open_return,high_zone_volume_ratio,173,0.130560788867,160,0.141209814256,0.130560788867,0.141209814256,0.141209814256,0.010649025389,ABS_RHO_LT_0_70
M1,1,4,break_open_return,late_day_sell_volume_ratio,173,-0.086710534589,160,-0.012791318175,0.086710534589,0.012791318175,0.086710534589,0.073919216414,ABS_RHO_LT_0_70
M1,1,5,break_open_return,d1_close_to_vwap_raw,173,-0.188886133394,160,-0.362477996883,0.188886133394,0.362477996883,0.362477996883,0.173591863489,ABS_RHO_LT_0_70
M1,2,3,down_bar_volume_ratio,high_zone_volume_ratio,173,-0.440799666285,160,-0.425297032865,0.440799666285,0.425297032865,0.440799666285,0.01550263342,ABS_RHO_LT_0_70
M1,2,4,down_bar_volume_ratio,late_day_sell_volume_ratio,173,0.072481504182,160,0.111257366369,0.072481504182,0.111257366369,0.111257366369,0.038775862187,ABS_RHO_LT_0_70
M1,2,5,down_bar_volume_ratio,d1_close_to_vwap_raw,173,-0.356184322142,160,-0.313639922683,0.356184322142,0.313639922683,0.356184322142,0.042544399459,ABS_RHO_LT_0_70
M1,3,4,high_zone_volume_ratio,late_day_sell_volume_ratio,173,-0.026411615902,160,0.037679843808,0.026411615902,0.037679843808,0.037679843808,0.06409145971,ABS_RHO_LT_0_70
M1,3,5,high_zone_volume_ratio,d1_close_to_vwap_raw,173,0.138172715762,160,-0.041342895827,0.138172715762,0.041342895827,0.138172715762,0.179515611589,ABS_RHO_LT_0_70
M1,4,5,late_day_sell_volume_ratio,d1_close_to_vwap_raw,173,-0.259952532076,160,-0.124780617818,0.259952532076,0.124780617818,0.259952532076,0.135171914258,ABS_RHO_LT_0_70
M2,1,2,break_open_return,down_bar_volume_ratio,173,0.218304783052,160,0.189648446353,0.218304783052,0.189648446353,0.218304783052,0.028656336698,ABS_RHO_LT_0_70
M2,1,3,break_open_return,high_zone_amount_ratio,173,0.129033404814,160,0.143328936798,0.129033404814,0.143328936798,0.143328936798,0.014295531984,ABS_RHO_LT_0_70
M2,1,4,break_open_return,late_day_sell_amount_ratio,173,-0.100482793992,160,-0.029300310105,0.100482793992,0.029300310105,0.100482793992,0.071182483887,ABS_RHO_LT_0_70
M2,1,5,break_open_return,d1_vwap_to_close_gap,173,0.188886133394,160,0.362477996883,0.188886133394,0.362477996883,0.362477996883,0.173591863489,ABS_RHO_LT_0_70
M2,2,3,down_bar_volume_ratio,high_zone_amount_ratio,173,-0.438955060588,160,-0.422144309726,0.438955060588,0.422144309726,0.438955060588,0.016810750862,ABS_RHO_LT_0_70
M2,2,4,down_bar_volume_ratio,late_day_sell_amount_ratio,173,0.061986612556,160,0.100422284182,0.061986612556,0.100422284182,0.100422284182,0.038435671626,ABS_RHO_LT_0_70
M2,2,5,down_bar_volume_ratio,d1_vwap_to_close_gap,173,0.356184322142,160,0.313639922683,0.356184322142,0.313639922683,0.356184322142,0.042544399459,ABS_RHO_LT_0_70
M2,3,4,high_zone_amount_ratio,late_day_sell_amount_ratio,173,-0.024014725629,160,0.027733535197,0.024014725629,0.027733535197,0.027733535197,0.051748260826,ABS_RHO_LT_0_70
M2,3,5,high_zone_amount_ratio,d1_vwap_to_close_gap,173,-0.139636651238,160,0.044853141699,0.139636651238,0.044853141699,0.139636651238,0.184489792937,ABS_RHO_LT_0_70
M2,4,5,late_day_sell_amount_ratio,d1_vwap_to_close_gap,173,0.23171506196,160,0.085469046365,0.23171506196,0.085469046365,0.23171506196,0.146246015596,ABS_RHO_LT_0_70
M3,1,2,overrepair,ma5_overheat_10,173,0.581433670594,160,0.477070681745,0.581433670594,0.477070681745,0.581433670594,0.104362988849,ABS_RHO_LT_0_70
M3,1,3,overrepair,break_volume_abnormality,173,0.167081968833,160,-0.15459357305,0.167081968833,0.15459357305,0.167081968833,0.321675541883,ABS_RHO_LT_0_70
M3,1,4,overrepair,profit_chip_ratio,173,0.41732022967,160,0.408049270392,0.41732022967,0.408049270392,0.41732022967,0.009270959278,ABS_RHO_LT_0_70
M3,1,5,overrepair,late_day_sell_volume_ratio,173,-0.121070580795,160,-0.146317853824,0.121070580795,0.146317853824,0.146317853824,0.025247273029,ABS_RHO_LT_0_70
M3,2,3,ma5_overheat_10,break_volume_abnormality,173,0.284026155522,160,0.115146487824,0.284026155522,0.115146487824,0.284026155522,0.168879667698,ABS_RHO_LT_0_70
M3,2,4,ma5_overheat_10,profit_chip_ratio,173,0.432245582352,160,0.227795210129,0.432245582352,0.227795210129,0.432245582352,0.204450372224,ABS_RHO_LT_0_70
M3,2,5,ma5_overheat_10,late_day_sell_volume_ratio,173,-0.119801979181,160,0.084634343809,0.119801979181,0.084634343809,0.119801979181,0.20443632299,ABS_RHO_LT_0_70
M3,3,4,break_volume_abnormality,profit_chip_ratio,173,-0.060994667945,160,-0.123186986712,0.060994667945,0.123186986712,0.123186986712,0.062192318768,ABS_RHO_LT_0_70
M3,3,5,break_volume_abnormality,late_day_sell_volume_ratio,173,-0.141620774768,160,0.043108828411,0.141620774768,0.043108828411,0.141620774768,0.184729603179,ABS_RHO_LT_0_70
M3,4,5,profit_chip_ratio,late_day_sell_volume_ratio,173,-0.298794464029,160,-0.154509169128,0.298794464029,0.154509169128,0.298794464029,0.144285294901,ABS_RHO_LT_0_70
